工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
数据分析师,网营科技,150-500人,电商,不需要融资,"五险一金,周末双休,氛围超嗨,节日礼物",6k-12k,1-3年,本科,杭州
数据分析师,大头兄弟,50-150人,"移动互联网,文娱丨内容",A轮,"年底双薪,年终奖,短视频应用,千万级用户",15k-30k,3-5年,本科,深圳
数据分析师（文本数据建模）,上海浩宜信息科技有限公司,150-500人,"数据服务,人工智能",不需要融资,"绩效奖金,定期体检,股票期权,通讯津贴",6k-8k,1-3年,本科,上海
数据分析,华壹信融,150-500人,金融,未融资,,6k-12k,应届毕业生,不限,北京
数据运营分析师,问卷网@爱调研,150-500人,移动互联网,C轮,"技能培训,节日礼物,年底双薪,绩效奖金",8k-12k,1-3年,本科,上海
大数据开发工程师（数仓）,万郡绿建,500-2000人,"电商,房产家居",不需要融资,"年底双薪,带薪年假,五险一金,住宿",18k-30k,5-10年,本科,杭州
数据分析师,松果出行,150-500人,消费生活,C轮,"年底双薪,股票期权,带薪年假,年度旅游",12k-20k,3-5年,本科,北京
大数据分析师,万兴科技集团股份有限公司,500-2000人,移动互联网,上市公司,"股票期权,骨干配车,创业平台,餐饮补助",15k-20k,3-5年,本科,深圳
数据分析师,信用生活,50-150人,"移动互联网,金融",A轮,"年底双薪,股票期权,绩效奖金,带薪年假",15k-30k,3-5年,本科,广州
数据分析师,天乙佳,500-2000人,电商、社交,天使轮,"股票期权,带薪年假,午餐补助,年终分红",15k-25k,3-5年,不限,杭州
GJY-大数据开发工程师,顺丰科技有限公司,2000人以上,"软件开发,数据服务",不需要融资,"技能培训,节日礼物,带薪年假,岗位晋升",15k-26k,3-5年,本科,深圳
数据分析师,中移在线服务有限公司,2000人以上,移动互联网,不需要融资,,15k-25k,3-5年,本科,郑州
数据分析师,热云数据,150-500人,"数据服务,移动互联网",B轮,"六险一金,工作居住证,年度旅游,定期体检",15k-25k,3-5年,本科,北京
数据分析师,滴滴优点,50-150人,移动互联网,不需要融资,"五险一金,加班补助,年终奖,股票期权",15k-30k,3-5年,本科,深圳
数据分析师,草花互动,150-500人,"移动互联网,游戏",未融资,"专项奖金,股票期权,带薪年假,领导好",9k-15k,1-3年,本科,长沙
大数据计算与调度平台开发工程师,自如网,2000人以上,房产家居,A轮,"丰厚年薪,六险一金,健康体检,带薪年假",20k-40k,3-5年,本科,北京
大数据开发工程师,平安产险,2000人以上,金融,上市公司,"绩效奖金 ,五险一金 ,带薪年假 ,年度旅游 ",15k-30k,3-5年,本科,深圳
数据分析师,广州市果肉教育科技有限公司,500-2000人,"移动互联网,教育",不需要融资,"年底双薪,弹性工作,年度旅游,节日礼物",15k-30k,3-5年,本科,广州
大数据开发工程师,博悦科创,500-2000人,移动互联网,不需要融资,"年底双薪,定期体检,绩效奖金,技能培训",14k-20k,3-5年,本科,深圳
数据分析师,nice,150-500人,"移动互联网,社交",C轮,"股票期权,年底双薪,绩效奖金,五险一金",10k-20k,1-3年,本科,北京
EA数据平台-数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",25k-35k,不限,本科,北京
高级数据分析师-抖音/火山,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",25k-50k,3-5年,本科,北京
开放世界MMORPG手游高级数据分析师（深圳）,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",18k-35k,3-5年,本科,深圳
大数据ETL开发工程师,滴滴,2000人以上,汽车丨出行,不需要融资,"弹性工作,节日礼物,岗位晋升,技能培训",20k-40k,1-3年,本科,北京
商业数据分析师,作业帮,2000人以上,工具,D轮及以上,"免费三餐,技术氛围浓厚,定期体检,新鲜水果",20k-35k,5-10年,本科,北京
数据分析师,启尔智信息科技,15-50人,移动互联网,未融资,,8k-15k,3-5年,大专,广州
数据分析师助理,中鑫环汇商务咨询,50-150人,金融,不需要融资,,4k-8k,1-3年,大专,西安
高级数据分析师,Gridsum 国双,500-2000人,"数据服务,企业服务",上市公司,"节日礼物,年底双薪,带薪年假,午餐补助",10k-20k,3-5年,本科,上海
数据分析师,北京瑞友,2000人以上,电商,上市公司,,10k-20k,不限,本科,成都
数据分析专家,跟谁学,2000人以上,"移动互联网,教育",上市公司,"节日礼物,技能培训,股票期权,精英团队",25k-40k,5-10年,本科,武汉
数据分析实习生,转转,500-2000人,"移动互联网,消费生活",B轮,"带薪年假,定期体检,交通补助,年底双薪",3k-5k,应届毕业生,本科,杭州
093131-数据分析师,平安健康保险,500-2000人,金融,未融资,,15k-25k,3-5年,本科,北京
急聘大数据开发工程师,博悦科创,500-2000人,移动互联网,不需要融资,"年底双薪,定期体检,绩效奖金,技能培训",11k-18k,3-5年,本科,深圳
大数据开发工程师,FOTILE方太,2000人以上,"移动互联网,电商",不需要融资,"节日礼物,培训发展,年度旅游,岗位晋升",25k-30k,5-10年,本科,上海
游戏数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-30k,3-5年,本科,北京
游戏数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-30k,3-5年,本科,北京
数据分析师,么么直播,50-150人,"移动互联网,社交",不需要融资,"扁平管理,节日礼物,年度旅游,五险一金",8k-12k,应届毕业生,本科,上海
BI数据分析师,ONES,50-150人,"移动互联网,企业服务",B轮,"定期体检,周末双休,六险一金,包午餐",12k-22k,1-3年,本科,深圳
高级数据分析师,哗啦啦,500-2000人,"移动互联网,消费生活",不需要融资,"技能培训,岗位晋升,领导好,带薪年假",25k-45k,3-5年,本科,北京
大数据应用开发工程师-高级 (MJ000037),星环科技,500-2000人,数据服务,D轮及以上,"五险一金,年底双薪,带薪年假,弹性工作",15k-25k,1-3年,本科,南京
大数据开发工程师 (MJ000299),星环科技,500-2000人,数据服务,D轮及以上,"五险一金,年底双薪,带薪年假,弹性工作",13k-26k,1-3年,本科,南京
游戏数据分析师,创梦天地,500-2000人,游戏,上市公司,"绩效奖金,五险一金,带薪年假,节日礼物",15k-28k,3-5年,本科,深圳
数据分析师,巴图鲁公司,500-2000人,汽车丨出行,C轮,"技能培训,节日礼物,年底双薪,带薪年假",8k-12k,1-3年,本科,广州
大数据开发工程师,海康交通大数据,50-150人,"移动互联网,数据服务",不需要融资,,15k-25k,3-5年,本科,成都
高级大数据开发工程师,Anker,500-2000人,移动互联网,不需要融资,"股票期权,带薪年假,定期体检,年底多薪",15k-25k,3-5年,本科,深圳
游戏数据分析师,创梦天地,500-2000人,游戏,上市公司,"绩效奖金,五险一金,带薪年假,节日礼物",15k-28k,3-5年,本科,深圳
数据分析师,巴图鲁公司,500-2000人,汽车丨出行,C轮,"技能培训,节日礼物,年底双薪,带薪年假",8k-12k,1-3年,本科,广州
大数据开发工程师,海康交通大数据,50-150人,"移动互联网,数据服务",不需要融资,,15k-25k,3-5年,本科,成都
高级大数据开发工程师,Anker,500-2000人,移动互联网,不需要融资,"股票期权,带薪年假,定期体检,年底多薪",15k-25k,3-5年,本科,深圳
大数据开发工程师,悟空租车,150-500人,"消费生活,电商",B轮,"专项奖金,股票期权,带薪年假,早晚餐",10k-20k,1-3年,本科,北京
数据分析师,无极慧通,50-150人,"医疗丨健康,数据服务",A轮,"技能培训,年底双薪,岗位晋升,领导好",10k-15k,3-5年,本科,北京
移动生态用户增长部_数据分析师,百度,2000人以上,工具,不需要融资,"股票期权,弹性工作,五险一金,免费班车",20k-40k,3-5年,本科,北京
数据分析师,阅文集团,500-2000人,文娱丨内容,上市公司,"年终分红,年底双薪,五险一金,交通补助",20k-30k,3-5年,本科,北京
金融数据分析师,慧择信息集团,500-2000人,"移动互联网,企业服务",不需要融资,"年底双薪,股票期权,绩效奖金,专项奖金",10k-15k,1-3年,本科,北京
高级数据分析师(J10066),中康资讯,150-500人,"移动互联网,医疗丨健康",不需要融资,"扁平管理,岗位晋升,五险一金,绩效奖金",15k-25k,5-10年,本科,广州
数据分析师,新浪网,2000人以上,文娱丨内容,上市公司,"免费班车,岗位晋升,五险一金,定期体检",13k-25k,3-5年,本科,北京
高级数据分析师,萌兔实业,500-2000人,电商,未融资,,5k-10k,3-5年,本科,上饶
高级数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-25k,不限,本科,武汉
数据分析实习生,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",4k-6k,不限,本科,北京
数据分析师实习-在校实习生,鞅聚信息,少于15人,移动互联网,未融资,"股票期权,带薪年假",2k-4k,应届毕业生,不限,上海
数据分析师(J10344),TalkingData,500-2000人,移动互联网,C轮,"精英团队,扁平管理,海量数据,弹性工作",15k-25k,1-3年,本科,北京
高级数据分析师（数据经理）(J10346),TalkingData,500-2000人,移动互联网,C轮,"精英团队,扁平管理,海量数据,弹性工作",20k-30k,3-5年,本科,北京
数据分析师,小米,2000人以上,硬件,D轮及以上,"快速成长,免费班车,扁平管理,技能培训",15k-30k,3-5年,本科,北京
资深数据分析师,茄子快传,150-500人,工具,B轮,"技能培训,领导好,美女多,帅哥多",20k-40k,5-10年,本科,北京
大数据分析师,四方伟业,500-2000人,移动互联网,不需要融资,"技能培训,年底双薪,股票期权,带薪年假",7k-12k,应届毕业生,硕士,成都
大数据开发工程师,一点资讯,500-2000人,文娱丨内容,D轮及以上,"带薪年假,扁平管理,弹性工作,领导好",20k-30k,1-3年,本科,北京
数据分析师,华策,50-150人,移动互联网,未融资,"绩效奖金,年终分红,带薪年假,五险一金",10k-20k,3-5年,本科,深圳
大数据开发工程师,电科电器,150-500人,"人工智能,物联网",不需要融资,,10k-15k,5-10年,本科,杭州
大数据开发工程师,Goat Games,50-150人,游戏,上市公司,"午餐补助,年终奖,绩效奖金,年度旅游",10k-20k,1-3年,本科,广州
高级大数据开发工程师,生学教育,150-500人,"移动互联网,教育",A轮,"节日礼物,专项奖金,股票期权,带薪年假",20k-30k,3-5年,大专,成都
数据分析师,国研网,150-500人,"企业服务,数据服务",上市公司,"专项奖金,年终分红,定期体检,弹性工作",5k-8k,1-3年,本科,成都
数据分析师,四众互联,50-150人,"消费生活,金融",不需要融资,"带薪年假,定期体检,弹性工作,领导好",20k-35k,5-10年,本科,北京
大数据开发工程师,光辉齐晟,15-50人,"移动互联网,金融",不需要融资,,20k-35k,3-5年,本科,北京
数据分析师,便利蜂,2000人以上,消费生活,不需要融资,"弹性工作,美女多,帅哥多,领导好",15k-30k,5-10年,本科,北京
高级数据分析师,小米,2000人以上,硬件,D轮及以上,"快速成长,免费班车,扁平管理,技能培训",25k-40k,不限,本科,北京
数据分析师,千聊,500-2000人,移动互联网,B轮,"午餐补助,带薪年假,弹性工作,扁平管理",10k-18k,3-5年,本科,广州
高级大数据开发工程师,转转,500-2000人,"移动互联网,消费生活",B轮,"带薪年假,定期体检,交通补助,年底双薪",25k-50k,3-5年,本科,北京
大数据开发工程师,博纳德,150-500人,移动互联网,天使轮,,15k-23k,3-5年,本科,广州
数据分析师,点点互动,500-2000人,"文娱丨内容,游戏",未融资,"绩效奖金,十天年假,定期调薪,补充医疗保险",25k-35k,3-5年,本科,北京
数据分析师,小鸡叫叫,500-2000人,"移动互联网,文娱丨内容",B轮,"岗位晋升,扁平管理,顶级项目,年底1-3薪",6k-12k,1-3年,本科,成都
数据分析,CLPS,500-2000人,"数据服务,金融",未融资,"专项奖金,带薪年假,定期体检,交通补助",16k-21k,3-5年,本科,上海
数据分析师,Soul,150-500人,"社交,文娱丨内容",C轮,"外企氛围,年轻活力娱乐,有才华的团队,技术导向",20k-40k,3-5年,本科,上海
大数据分析师,TutorABC & vipJr,2000人以上,"移动互联网,教育",C轮,"技能培训,年度旅游,岗位晋升,扁平管理",13k-20k,1-3年,本科,上海
商业化数据分析师,冲顶,50-150人,移动互联网,C轮,"移动互联网,五险一金,扁平管理,领导好",10k-20k,1-3年,本科,北京
高级数据分析师――用户产品中心,汽车之家,2000人以上,汽车丨出行,上市公司,"技能培训,节日礼物,带薪年假,绩效奖金",20k-25k,1-3年,本科,北京
资深数据分析师/专家,叮咚买菜,2000人以上,消费生活,B轮,"弹性工作,扁平管理,股票期权,带薪年假",20k-30k,3-5年,本科,上海
大数据开发--平台架构师 / 资深开发工程师,快看漫画,500-2000人,文娱丨内容,D轮及以上,"股票期权,年度体检,七险一金,带薪假期",30k-50k,5-10年,本科,北京
大数据分析师,政法频道,150-500人,其他,不需要融资,,15k-30k,5-10年,硕士,长沙
资深数据分析师,美味不用等,500-2000人,消费生活,D轮及以上,"绩效奖金,股票期权,专项奖金,年底双薪",30k-40k,5-10年,本科,上海
大数据开发工程师,北纬三十度,150-500人,"电商,医疗丨健康",未融资,,20k-35k,不限,大专,深圳
大数据开发工程师,草花互动,150-500人,"移动互联网,游戏",未融资,"专项奖金,股票期权,带薪年假,领导好",10k-15k,1-3年,大专,长沙
253122-数据分析师,陆金所,2000人以上,金融,B轮,"年底双薪,专项奖金,股票期权,绩效奖金",13k-26k,1-3年,本科,上海
YFX-数据分析经理(汽融贷后),微众银行,2000人以上,金融,未融资,"技能培训,年底双薪,节日礼物,绩效奖金",20k-30k,3-5年,本科,深圳
XLF-数据分析经理(数据分析),微众银行,2000人以上,金融,未融资,"技能培训,年底双薪,节日礼物,绩效奖金",20k-30k,3-5年,本科,深圳
26314Z-数据分析师,平安租赁,500-2000人,金融,不需要融资,,20k-30k,5-10年,本科,上海
0222JM-数据分析师,平安人寿,2000人以上,金融,上市公司,"绩效奖金,带薪年假,定期体检,节日礼物",1k-1k,1-3年,本科,深圳
3221B4-数据分析师,平安健康互联网,2000人以上,"移动互联网,医疗丨健康",上市公司,"技能培训,节日礼物,带薪年假,定期体检",20k-30k,5-10年,本科,上海
高级数据分析师-短视频--3027,爱奇艺,2000人以上,文娱丨内容,上市公司,"绩效奖金,五险一金,交通补助,带薪年假",20k-40k,3-5年,本科,北京
大数据开发工程师,智云健康,500-2000人,"移动互联网,医疗丨健康",D轮及以上,"年底双薪,带薪年假,定期体检,年度旅游",20k-30k,3-5年,本科,杭州
数据分析师--3006,爱奇艺,2000人以上,文娱丨内容,上市公司,"绩效奖金,五险一金,交通补助,带薪年假",8k-12k,1-3年,本科,成都
大数据开发工程师,云账户,150-500人,数据服务,C轮,"节日礼物,带薪年假,绩效奖金,五险一金",18k-35k,3-5年,本科,上海
数据分析师,混沌大学,150-500人,"移动互联网,教育",不需要融资,"弹性工作,扁平管理,领导好,五险一金",15k-30k,3-5年,本科,北京
大数据开发工程师,游雁游戏,150-500人,游戏,未融资,"年底双薪,带薪年假,定期体检,绩效奖金",11k-15k,3-5年,大专,广州
数据分析师,京东数字科技,2000人以上,金融,上市公司,"供应链金融,消费金融,众筹业务,支付业务",25k-40k,5-10年,本科,北京
商业数据分析,红蓝CP,15-50人,"移动互联网,社交",A轮,"技能培训,股票期权,带薪年假,绩效奖金",16k-25k,3-5年,本科,杭州
数据分析师,京东数字科技,2000人以上,金融,上市公司,"供应链金融,消费金融,众筹业务,支付业务",25k-40k,5-10年,本科,北京
资深数据分析（电商/反作弊方向）,趣头条,500-2000人,文娱丨内容,上市公司,"专项奖金,带薪年假,弹性工作,管理规范",20k-35k,3-5年,本科,上海
湖北数据分析师,微众信科,150-500人,"金融,数据服务",D轮及以上,"年底双薪,午餐补助,年终分红,绩效奖金",8k-12k,1-3年,本科,武汉
1121WD-数据分析师（TED建模组）,平安科技,2000人以上,金融,不需要融资,"六险一金,扁平化管理,丰厚年终,丰富技术交流",18k-30k,1-3年,本科,上海
11217R-高级数据分析师（GBD）,平安科技,2000人以上,金融,不需要融资,"六险一金,扁平化管理,丰厚年终,丰富技术交流",15k-30k,3-5年,硕士,上海
大数据开发工程师,顺德与你共享,15-50人,"电商,消费生活",未融资,,30k-60k,不限,本科,北京
大数据开发工程师,新东方在线,2000人以上,"移动互联网,教育",上市公司,"年度旅游,定期体检,免费健身,交通补助",20k-30k,3-5年,本科,北京
XLF-数据分析经理(数据分析),微众银行,2000人以上,金融,未融资,"技能培训,年底双薪,节日礼物,绩效奖金",20k-30k,3-5年,本科,深圳
数据分析师,LinkedME,50-150人,"移动互联网,企业服务",B轮,"年底双薪,股票期权,午餐补助,定期体检",10k-20k,3-5年,本科,北京
数据分析师,横琴人寿,150-500人,金融,不需要融资,,7k-14k,1-3年,本科,北京
高级数据分析师,壳木软件,150-500人,移动互联网,上市公司,"绩效奖金,扁平管理,领导好,年度旅游",25k-50k,5-10年,硕士,北京
大数据分析师,乐家云计算有限公司,50-150人,"移动互联网,企业服务",不需要融资,,12k-18k,1-3年,硕士,深圳
数据分析师,音智达,500-2000人,"数据服务,其他",未融资,"优秀团队,技能培训,带薪年假,岗位晋升",6k-10k,1-3年,本科,上海
大数据开发工程师,友聚四海,2000人以上,移动互联网,D轮及以上,"年底双薪,定期体检,绩效奖金,岗位晋升",30k-50k,3-5年,本科,北京
大数据开发工程师,北京中位科技有限公司重庆分公司,50-150人,"移动互联网,数据服务",不需要融资,"绩效奖金,带薪年假,技能培训,专项奖金",10k-20k,3-5年,本科,重庆
高级数据分析师,浦发信用卡,2000人以上,金融,上市公司,"专项奖金,绩效奖金,定期体检,带薪年假",20k-30k,3-5年,硕士,上海
大数据分析,宝康电子,150-500人,其他,未融资,"带薪年假,午餐补助,定期体检,绩效奖金",10k-15k,3-5年,本科,上海
BI数据分析师,爱美购,50-150人,"移动互联网,电商",不需要融资,"股票期权,绩效奖金,五险一金,带薪年假",10k-20k,1-3年,本科,深圳
商业数据分析师（广告）,Mobvista,500-2000人,广告营销,上市公司,"优秀团队,节日礼物,股票期权,带薪年假",15k-25k,1-3年,本科,广州
高级商业数据分析师,Mobvista,500-2000人,广告营销,上市公司,"优秀团队,节日礼物,股票期权,带薪年假",13k-20k,1-3年,本科,广州
大数据开发工程师（数据中台）,铭轩科技,50-150人,不限,未融资,,12k-24k,3-5年,本科,武汉
财务数据分析师,顺联动力,150-500人,"移动互联网,电商",不需要融资,"年终分红,绩效奖金,定期体检,年底双薪",10k-20k,3-5年,本科,杭州
数据分析师,维度统计,150-500人,其他,上市公司,"股票期权,年底双薪,绩效奖金,定期体检",4k-6k,不限,本科,深圳
数据分析师,贝壳,2000人以上,房产家居,D轮及以上,"股票期权,带薪年假,绩效奖金,扁平管理",25k-40k,不限,本科,北京
大数据开发工程师,高阳捷迅,150-500人,电商,不需要融资,"免费班车,带薪年假,绩效奖金,补充医疗",10k-15k,应届毕业生,本科,武汉
资深数据分析师(J11772),货拉拉,2000人以上,"移动互联网,消费生活",D轮及以上,"技能培训,专项奖金,绩效奖金,扁平管理",50k-70k,5-10年,本科,深圳
数据分析师,冰鉴科技,150-500人,"信息安全,数据服务",C轮,"福利关怀丰厚,组织管理扁平,年终奖金丰厚,技术实力强大",12k-18k,1-3年,本科,上海
数据分析师,冰鉴科技,150-500人,"信息安全,数据服务",C轮,"福利关怀丰厚,组织管理扁平,年终奖金丰厚,技术实力强大",12k-18k,1-3年,本科,北京
高级数据分析师(J12211),安居客,500-2000人,移动互联网,上市公司,"年底双薪,绩效奖金,带薪年假,五险一金",20k-40k,1-3年,本科,北京
大数据分析,青岛准安互动大数据科技服务有限公司,150-500人,"金融,企业服务",未融资,,6k-12k,不限,大专,青岛
高级数据分析师(J12211),安居客,500-2000人,移动互联网,上市公司,"年底双薪,绩效奖金,带薪年假,五险一金",20k-40k,1-3年,本科,北京
大数据分析,青岛准安互动大数据科技服务有限公司,150-500人,"金融,企业服务",未融资,,6k-12k,不限,大专,青岛
高级数据分析师,TutorABC & vipJr,2000人以上,"移动互联网,教育",C轮,"技能培训,年度旅游,岗位晋升,扁平管理",11k-15k,3-5年,本科,上海
急聘大数据开发工程师,博悦科创,500-2000人,移动互联网,不需要融资,"年底双薪,定期体检,绩效奖金,技能培训",12k-20k,3-5年,本科,深圳
数据分析师 (MJ000060),百融云创,500-2000人,金融,C轮,"技能培训,股票期权,带薪年假,定期体检",18k-28k,不限,本科,北京
高级数据分析师（上海） (MJ000045),百融云创,500-2000人,金融,C轮,"技能培训,股票期权,带薪年假,定期体检",15k-30k,不限,硕士,上海
数据分析师,格上出行,500-2000人,"移动互联网,企业服务",不需要融资,,8k-10k,1-3年,本科,杭州
02315R-资深数据分析师(平台电商领域),平安人寿,2000人以上,金融,上市公司,"绩效奖金,带薪年假,定期体检,节日礼物",30k-60k,3-5年,本科,深圳
数据分析师,个推,500-2000人,移动互联网,上市公司,"绩效奖金,股票期权,年底双薪,专项奖金",12k-20k,1-3年,本科,杭州
高级数据分析师,华策,50-150人,移动互联网,未融资,"绩效奖金,年终分红,带薪年假,五险一金",11k-20k,3-5年,本科,深圳
大数据开发工程师,SHEIN,2000人以上,"电商,移动互联网",C轮,,10k-15k,应届毕业生,本科,深圳
数据分析师,探探,150-500人,"移动互联网,社交",D轮及以上,"股票期权,带薪年假,岗位晋升,扁平管理",18k-36k,3-5年,本科,北京
资深数据分析师,橙鹰,150-500人,数据服务,不需要融资,"年底双薪,带薪年假,午餐补助,定期体检",15k-30k,3-5年,本科,杭州
数据分析师,极米传媒科技,150-500人,移动互联网,未融资,"五险一金,带薪年假,年度旅游,定期体检",10k-15k,3-5年,本科,广州
大数据开发工程师,房极客,150-500人,"移动互联网,企业服务",B轮,"高成长性,弹性工作,股票期权,零食自取",20k-40k,5-10年,本科,深圳
