downloadCount,displayName,gameId,gameType,introduction,publisherName,developer_name,shortDesc,current,change,score,cnt,bcnt,gameTag
441275501,迷你世界,62233113,1,威震世界，擎天出击！天生我才，敢想敢造！,迷你玩科技,迷你玩,威震世界，擎天出击！天生我才，敢想敢造！,1,0,8.6,73315,88017,"冒险,创造,开放世界,编程,社交,3D,像素,沙盒,动作冒险"
525530777,和平精英,62233238,1,腾讯光子工作室群自研打造的反恐军事竞赛体验手游。,深圳市腾讯计算机系统有限公司,腾讯移动游戏,腾讯光子工作室群自研打造的反恐军事竞赛体验手游。,2,0,8.1,83732,95150,"吃鸡,枪战,求生,PVP,3D,写实,正版授权,电子竞技"
807890510,王者荣耀,62230288,1,白蛇再临西子湖畔，只为赴你千年之约,深圳市腾讯计算机系统有限公司,腾讯移动游戏,白蛇再临西子湖畔，只为赴你千年之约,3,1,7.6,86276,100566,"MOBA,竞技,自走棋,电子竞技,PVP,手速,社交,2.5D,卡通"
2286808,金币大富翁,62265867,1,草根继承豪宅逆袭成为商业霸主,芜湖易玩网络科技有限公司,益玩游戏,草根继承豪宅逆袭成为商业霸主,4,-1,6.1,254,295,"城镇建设,放置挂机,收集,2D,卡通,模拟经营"
203444485,我的世界,62232113,1,自由创造，从一个方块开始,上海网之易吾世界网络科技有限公司,网易_我的世界_运营组,自由创造，从一个方块开始,5,0,8.9,32049,38172,"冒险,创造,开放世界,情怀,3D,像素,沙盒,端游移植,动作冒险"
4487921,末日激斗,62280645,1,无操作高智能AI自主战斗丧尸题材手游,海南云趣网络科技有限公司,5AW游戏,无操作高智能AI自主战斗丧尸题材手游,6,0,8.1,201,222,"MMORPG,放置挂机,闯关,2.5D,写实,僵尸,角色扮演"
167037891,汤姆猫跑酷,62239722,1,探索无穷无尽的跑酷世界,广州金科文化科技有限公司,金科文化,探索无穷无尽的跑酷世界,7,0,8.6,6987,7607,"跑酷,躲避,闯关,竖屏,2.5D,卡通,动作冒险"
3835586,胭脂妃,62287729,1,一款万千佳丽爱玩的后宫手游,创想天空,创游天空,一款万千佳丽爱玩的后宫手游,8,1,5.7,100,104,"人物模拟,养成,女性向,2D,国风,宫廷"
17369746,汤姆猫英雄跑酷,62275806,1,汤姆猫家族全新跑酷力作,广州金科文化科技有限公司,金科文化,汤姆猫家族全新跑酷力作,9,-1,8.8,617,685,"跑酷,躲避,闯关,2.5D,卡通,动作冒险"
50956844,我的汤姆猫2,62259432,1,顶级IP续作 汤姆猫华丽升级,广州金科文化科技有限公司,金科文化,顶级IP续作 汤姆猫华丽升级,11,1,8.8,2729,3071,"动物模拟,养成,竖屏,魔性,2D,卡通,宠物"
139995172,开心消消乐-限时有礼,62231551,1,全民福利 让宅在家的日子不再无聊,乐元素科技（北京）股份有限公司,乐元素,全民福利 让宅在家的日子不再无聊,12,-2,9.0,3308,3559,"三消,闯关,消除,休闲益智,竖屏,2D,卡通"
129081,超级木旋3D版,62292055,1,一款可以肆意削木头的趣味闯关游戏,深圳市动能无线传媒有限公司,动能无线,一款可以肆意削木头的趣味闯关游戏,13,1,4.7,11,12,创意
48043274,猫和老鼠,62246578,1,猫鼠追逃竞技,杭州网易雷火科技有限公司,网易游戏,猫鼠追逃竞技,14,-1,8.7,15024,17255,"非对称竞技,躲避,PVP,情怀,2D,卡通,动漫,正版授权,电子竞技"
5339521,幻剑情缘-高萌版,62283957,1,一剑一麒麟，仗剑九州行,上海旭梅网络科技有限公司,,一剑一麒麟，仗剑九州行,15,1,5.4,72,75,"MMORPG,放置挂机,跨服,2.5D,卡通,仙侠,角色扮演"
6628910,全民大富豪,62278059,1,打造你的财富王国, 海南游情网络科技有限公司 ,,打造你的财富王国,16,-1,8.5,55,57,"商业经营,放置挂机,2D,卡通,商业,模拟经营"
96896859,我的安吉拉,62239831,1,把安吉拉打造成你自己的超级明星,广州金科文化科技有限公司,金科文化,把安吉拉打造成你自己的超级明星,17,0,8.7,4495,4913,"动物模拟,养成,女性向,竖屏,治愈,2.5D,萌系,宠物,模拟经营"
113131724,QQ飞车手游,62232139,1,《QQ飞车》手游版来来来来了,腾讯游戏,腾讯游戏,《QQ飞车》手游版来来来来了,18,7,8.2,10184,11366,"赛车,漂移,PVP,社交,3D,高画质,端游移植,体育竞速"
75238390,植物大战僵尸2,62249203,1,功夫世界版全新亮相,拓维信息系统股份有限公司,拓维游戏,功夫世界版全新亮相,19,-1,7.1,4062,4523,"阵地塔防,卡牌,防守,闯关,2D,卡通,僵尸"
2034283,救救宝宝,62288927,1,切绳救人，快来救救熊孩子吧,深圳市动能无线传媒有限公司,动能无线,切绳救人，快来救救熊孩子吧,20,0,6.0,77,84,"切割,物理,休闲益智,闯关,2D,卡通"
7542764,欢快斗地主,62270868,1,不花钱也玩的爽的斗地主,深圳麦林科技有限公司,,不花钱也玩的爽的斗地主,141,4,7.3,24,26,"斗地主,社交,2D,卡通,棋牌桌游"
8896428,模拟山羊,62230606,1,魔性有毒 停不下来,HULIANWANG,,魔性有毒 停不下来,142,4,9.1,1979,2075,"物理,动物模拟,开放世界,魔性,恶搞,3D,写实"
4744368,叶罗丽美颜公主,62260122,1,魔法罗丽公主，动人盛世美颜,成都嘉游信息技术有限公司,,魔法罗丽公主，动人盛世美颜,143,-1,8.4,704,753,"换装,化妆,造型换装,闯关,女性向,竖屏,2D,卡通"
539565,梦幻星空蛋糕,62284765,1,银河星空镜面蛋糕-甜点制造商,成都艾琳达科技有限公司,,银河星空镜面蛋糕-甜点制造商,144,-3,9.1,12,14,"启蒙,创造,竖屏,2.5D,卡通,美食,儿童亲子"
782538,吃鸡战争,62289532,1,吃鸡才是游戏的第一任务,Aidas Game Studio,,吃鸡才是游戏的第一任务,145,5,7.0,151,154,"第三人称射击,射击游戏,求生,2.5D,写实"
1421193,菲梦少女,62279676,1,少女的偶像养成之路,成都嘉游信息技术有限公司,,少女的偶像养成之路,146,5,8.6,156,165,"明星养成,换装,收集,女性向,2D,卡通,模拟经营"
12848297,奶块-四周年,62231937,1,自由沙盒 万人同服,深圳市抱一网络科技有限公司,抱一网络,自由沙盒 万人同服,147,-3,8.0,1683,1956,"冒险,创造,开放世界,社交,3D,像素,沙盒,动作冒险"
3157341,我的勇者,62272944,1,高创新度的像素风地牢探险RPG手游,深圳魔力数娱网络科技有限公司,勇者蛙工作室,高创新度的像素风地牢探险RPG手游,148,-22,7.9,975,1103,"ARPG,像素,俯视角,躲避,闯关,2D,地牢,弹幕,角色扮演"
1489792,木筏冒险,62283402,1,紧张刺激好玩的木筏冒险游戏,海南黑岛科技有限公司,,紧张刺激好玩的木筏冒险游戏,149,2,7.0,166,179,"冒险,沙盒,求生,创造,3D,写实,动作冒险"
18097622,会说话的汤姆猫2,62235672,1,会说话的汤姆猫2官方国内版,广州金科文化科技有限公司,金科文化,会说话的汤姆猫2官方国内版,150,-2,6.4,156,165,"动物模拟,会说话,养成,竖屏,2D,萌系,宠物"
29504273,跳舞的线,62230093,1,在琴键上翩翩起舞,北京猎豹网络科技有限公司,猎豹移动,在琴键上翩翩起舞,121,-5,8.5,1146,1239,"节奏,闯关,反应,抖M虐心,手速,2.5D,唯美,低多边形,音乐节奏"
24558725,我的熊大熊二,62240195,1,免费领养属于你的熊大熊二, 深圳市灵游互娱股份有限公司 ,灵游互娱,免费领养属于你的熊大熊二,122,15,7.6,453,491,"绘画,农场经营,动物模拟,养成,闯关,2D,卡通,儿童亲子"
19147872,火柴人绳索英雄,62247047,1,控制火柴人将克隆人赶出地球, Naxeex LLC ,,控制火柴人将克隆人赶出地球,123,6,8.9,4109,4340,"单机RPG,即时制,开放世界,3D,简约,火柴人"
11297255,汤姆猫战营,62249868,1,会说话的汤姆猫家族,广州金科文化科技有限公司,金科文化,会说话的汤姆猫家族,124,7,7.8,653,716,"城镇建设,阵地塔防,防守,闯关,2.5D,卡通"
23492348,生死狙击,62234329,1,公平竞争，枪战巅峰,无端科技,无端科技,公平竞争，枪战巅峰,125,0,8.3,3449,3921,"第一人称射击,枪战,射击游戏,PVP,3D,写实,军事,页游移植"
0,小鸟蹦蹦弹,62272986,1,在忙碌之余尽情享受精彩的音乐,石家庄雷本湖信息科技有限公司,,在忙碌之余尽情享受精彩的音乐,126,1,,3,3,"节奏,闯关,手速,2.5D,精美,音乐节奏"
0,疯狂麦克斯,62286422,1,公路大战一触即发,SMOKOKO LTD,,公路大战一触即发,127,-8,,2,2,"载具射击,战车,横版,闯关,2D,美漫,射击游戏"
18266563,会说话的汤姆猫,62271306,1,快来领养你的汤姆猫,广州金科文化科技有限公司,金科文化,快来领养你的汤姆猫,129,7,6.5,79,84,"动物模拟,养成,竖屏,魔性,2.5D,萌系,宠物"
7376398,单机斗地主,62277184,1,单机对战，完全免费的斗地主,小米游戏,小米游戏,单机对战，完全免费的斗地主,130,4,8.5,155,169,"斗地主,魔性,2D,卡通,棋牌桌游"
2399621,兵人大战,62250082,1,经典玩具兵策略大作，运筹帷幄，玩套路，秀智商,北京原力棱镜科技有限公司,37手游,经典玩具兵策略大作，运筹帷幄，玩套路，秀智商,131,-19,7.5,225,248,"国家策略,战争模拟,PVP,跨服,全球同服,2.5D,美漫,战争"
19377585,熊出没之熊大快跑,62240074,1,动画巨作《熊出没》改编佳品,合肥乐堂动漫信息技术有限公司,乐堂动漫,动画巨作《熊出没》改编佳品,132,11,8.1,261,279,"跑酷,闯关,竖屏,2.5D,卡通,正版授权,动作冒险"
1485196,汤姆猫大冒险,62284230,1,Q版社交弹射竞技手游,广州金科文化科技有限公司,金科文化,Q版社交弹射竞技手游,133,0,7.4,66,76,"弹射,养成,PVP,社交,2D,卡通,休闲益智"
288783,跑酷老奶奶,62284165,1,一场由苹果引发的跑酷竞速赛,西安西品网络科技有限公司,东品游戏,一场由苹果引发的跑酷竞速赛,134,-17,9.3,57,60,"跑酷,横版,躲避,2D,卡通,动作冒险"
800637,我爱拼模型,62289860,1,拼装模型，组装世界名胜。,北京猎豹网络科技有限公司,,拼装模型，组装世界名胜。,135,0,8.0,145,158,"拼图,闯关,2.5D,卡通,现实,休闲益智"
3274553,僵尸榨汁机,62283767,1,抓最萌的僵尸，喝最好喝的果汁,金d哲信（深圳）科技有限公司,金d哲信,抓最萌的僵尸，喝最好喝的果汁,136,3,7.9,244,261,"商业经营,僵尸,闯关,收集,2D,卡通,搞笑,模拟经营"
1954656,反恐特战队,62280742,1,刺激的精英射击绝地求生游戏,河北拓艾网络科技有限公司,,刺激的精英射击绝地求生游戏,137,14,6.1,109,112,"第一人称射击,闯关,2.5D,写实,射击游戏"
1967218,三国志・战略版,62272950,1,全新赛季！六大虎将，四大特种兵来袭,广州简悦,广州简悦,全新赛季！六大虎将，四大特种兵来袭,138,13,8.2,1561,1809,"SLG,PVP,全球同服,2.5D,复古,战争,正版授权,战争策略"
22690604,饥饿鲨：进化,62234039,1,游泳当心！饥饿的鲨鱼回来了,北京掌趣科技股份有限公司,掌趣科技,游泳当心！饥饿的鲨鱼回来了,139,1,7.9,560,612,"ARPG,养成,动物模拟,手速,2.5D,卡通,角色扮演"
8026850,王牌战士,62264125,1,《王牌战士》由腾讯游戏魔方工作室群研发的热血漫多角色射击手游,腾讯计算机系统有限公司,腾讯游戏,《王牌战士》由腾讯游戏魔方工作室群研发的热血漫多角色射击手游,140,-2,8.4,1838,2001,"竞技,第一人称射击,枪战,PVP,3D,美漫,二次元,电子竞技"
32351229,火柴人绳索英雄2,62247046,1,火柴人3D动作手游,Naxeex LLC,,火柴人3D动作手游,101,1,8.6,4802,5036,"单机RPG,开放世界,3D,简约,火柴人"
5850079,量子特攻,62272419,1,来了超级我！超能战术竞技手游,杭州网易雷火科技有限公司,网易游戏,来了超级我！超能战术竞技手游,102,-12,8.4,1331,1457,"吃鸡,竞技,PVP,3D,高画质,战争,科幻,电子竞技"
13927698,奥特曼之格斗超人,62268020,1,泰迦强势登场 光之传承再次开启,合肥乐堂动漫信息技术有限公司,乐堂动漫,泰迦强势登场 光之传承再次开启,103,-5,9.5,6345,6990,"ARPG,横版,闯关,2.5D,卡通,正版授权,角色扮演"
2646448,奇葩战斗家,62281445,1,高能爆笑的奇葩乱斗,深圳雷霆信息技术有限公司,雷霆游戏,高能爆笑的奇葩乱斗,104,-12,8.9,898,1001,"io,俯视角,躲避,PVP,魔性,2.5D,卡通,电子竞技"
1156296,火柴人神逃脱,62281184,1,神级爆笑魔性火柴人越狱大作战,深圳市掌上方舟科技有限公司,深圳市掌上方舟,神级爆笑魔性火柴人越狱大作战,105,15,6.9,19,20,"逃生,火柴人,2D,简约,越狱,解谜烧脑"
859173,美味深蓝,62284546,1,恐怖饥饿鲨鱼吃遍美味深蓝海域,SuzhouRedwoods,红树林游戏,恐怖饥饿鲨鱼吃遍美味深蓝海域,106,2,4.8,39,40,"动物模拟,闯关,收集,2D,写实,模拟经营"
1548765,仙界幻世录-唯美武侠修仙,62274146,1,年度大型唯美修仙武侠3DMMO手游,深圳市畅梦创想科技有限公司,剑客下山运营团队,年度大型唯美修仙武侠3DMMO手游,107,-1,6.6,14,15,"MMORPG,2.5D,国风,仙侠,角色扮演"
1860089,跳跳跳方块,62246421,1,跳一跳新玩法，吃鸡大作战,飞鸟与鱼科技开发有限公司,飞鸟与鱼,跳一跳新玩法，吃鸡大作战,108,10,9.3,209,490,"反应,物理,闯关,抖M虐心,2D,简约"
2177910,我要当国王,62283734,1,刺客全军出击国王的一千种结局,SuzhouRedwoods,红树林游戏,刺客全军出击国王的一千种结局,109,6,6.7,73,78,"冒险,闯关,剧情,2D,卡通,搞笑,动作冒险"
1443090,像素射击战场,62286823,1,你可以生存到最后吗,Riovox,,你可以生存到最后吗,110,-3,6.9,997,1065,"枪战,第一人称射击,射击游戏,闯关,3D,像素"
3051708,奥拉星,62270855,1,二次元收集养成，战个痛快,广州天梯,,二次元收集养成，战个痛快,111,-18,8.6,1269,1418,"MMORPG,情怀,3D,卡通,奇幻,页游移植,正版授权,角色扮演"
463709,脑力达人-益智合集,62266900,1,烧脑益智游戏合集, 深圳云步互娱网络科技有限公司 ,云步互娱,烧脑益智游戏合集,112,-18,,9,10,"连线,合并,竖屏,2D,简约"
770847,欢乐游戏城,62283096,1,志勇大闯关，运动闯关游戏,深圳市统掌科技有限公司,统掌科技,志勇大闯关，运动闯关游戏,113,8,5.5,11,12,"反应,躲避,闯关,2.5D,简约,休闲益智"
12532062,火柴人联盟2,62232694,1,首款国风格斗竞技手游,acingame,,首款国风格斗竞技手游,114,14,7.6,1409,1592,"ARPG,闯关,冒险,横版,2D,线条,火柴人,角色扮演"
1235131,像素射击,62250125,1,这是一个在无人岛上和僵尸约会的故事,Doodle Mobile Ltd.,,这是一个在无人岛上和僵尸约会的故事,115,-14,3.7,49,49,"第一人称射击,枪战,冒险,闯关,3D,像素"
6630437,乐高无限,62269386,1,创造型沙盒游戏,腾讯外发游戏,腾讯游戏,创造型沙盒游戏,116,-5,8.4,1663,1843,"冒险,乐高,创造,开放世界,3D,像素,沙盒,正版授权,动作冒险"
1416928,街头赛车王,62271491,1,全新赛车漂移体验等你来战,沈阳乐微游科技有限公司,,全新赛车漂移体验等你来战,117,6,5.9,71,74,"赛车,漂移,驾驶模拟,重力/陀螺仪,3D,写实,现实"
794596,风云岛行动-超能力版,62265843,1,自带透视、隐身的花式生存竞技,杭州网易雷火科技有限公司,网易游戏,自带透视、隐身的花式生存竞技,118,-15,7.4,474,521,"吃鸡,求生,PVP,3D,国风,武侠,电子竞技"
9001054,火柴蜘蛛侠英雄,62265742,1,小火柴成为大英雄,Mine Games Craft,,小火柴成为大英雄,119,13,8.4,123,126,"单机RPG,冒险,即时制,开放世界,3D,简约,火柴人"
884748,我的第一次,62282816,1,百年修得同船渡，千年修得共枕眠,深圳八班网络科技有限公司,E8game,百年修得同船渡，千年修得共枕眠,120,2,7.1,92,98,"烧脑,恋爱,恋爱养成,闯关,竖屏,2D,日漫,解谜烧脑"
3742658,三国战纪,62234271,1,二十年经典，风靡街机厅动作手游,上海魔克信息科技有限公司,,二十年经典，风靡街机厅动作手游,81,1,8.8,955,1143,"冒险,经典街机,横版,情怀,2D,卡通,三国,动作冒险"
22908329,汤姆猫水上乐园,62233352,1,汤姆猫家族全新游戏已上线,广州金科文化科技有限公司,金科文化,汤姆猫家族全新游戏已上线,82,5,7.7,342,372,"弹射,智力学习,启蒙,闯关,2.5D,卡通"
3877113,植物大战僵尸全明星,62268852,1,迎春福利抢抢枪,南京舜卓信息技术有限公司,,迎春福利抢抢枪,83,1,6.5,468,547,"阵地塔防,防守,闯关,2D,卡通,僵尸,塔防迷宫"
11992477,火柴人战争：遗产,62265884,1,加入火柴人的战争攻略属于你的领土,南京原极信息科技有限公司,,加入火柴人的战争攻略属于你的领土,84,11,8.9,1335,1454,"即时战略,对攻塔防,闯关,2D,卡通,火柴人"
